Learning rate: 0.02, Hidden neurons: 64, Epochs: 5000, Accuracy: 0.7182, Loss: 0.04488971801389061
Learning rate: 0.02, Hidden neurons: 64, Epochs: 10000, Accuracy: 0.8001, Loss: 0.03487002036030826
Learning rate: 0.02, Hidden neurons: 64, Epochs: 15000, Accuracy: 0.8259, Loss: 0.02970100605780496
Learning rate: 0.02, Hidden neurons: 64, Epochs: 17500, Accuracy: 0.8493, Loss: 0.026957755378038382
Learning rate: 0.02, Hidden neurons: 64, Epochs: 20000, Accuracy: 0.8526, Loss: 0.025252710025583304
Learning rate: 0.02, Hidden neurons: 64, Epochs: 22500, Accuracy: 0.853, Loss: 0.02535090023910534
Learning rate: 0.02, Hidden neurons: 64, Epochs: 25000, Accuracy: 0.8589, Loss: 0.024708893510533337
Learning rate: 0.02, Hidden neurons: 64, Epochs: 27500, Accuracy: 0.8694, Loss: 0.023186404644282954
Learning rate: 0.02, Hidden neurons: 64, Epochs: 30000, Accuracy: 0.8727, Loss: 0.022943949675389933
Learning rate: 0.02, Hidden neurons: 128, Epochs: 5000, Accuracy: 0.7605, Loss: 0.04070144396746458
Learning rate: 0.02, Hidden neurons: 128, Epochs: 10000, Accuracy: 0.8181, Loss: 0.03232320594801549
Learning rate: 0.02, Hidden neurons: 128, Epochs: 15000, Accuracy: 0.8506, Loss: 0.026549244432915144
Learning rate: 0.02, Hidden neurons: 128, Epochs: 17500, Accuracy: 0.8628, Loss: 0.024643038907058958
Learning rate: 0.02, Hidden neurons: 128, Epochs: 20000, Accuracy: 0.8725, Loss: 0.023839934768569805
Learning rate: 0.02, Hidden neurons: 128, Epochs: 22500, Accuracy: 0.8749, Loss: 0.02239556877016527
Learning rate: 0.02, Hidden neurons: 128, Epochs: 25000, Accuracy: 0.877, Loss: 0.0218847683561327
Learning rate: 0.02, Hidden neurons: 128, Epochs: 27500, Accuracy: 0.8771, Loss: 0.022343530707193745
Learning rate: 0.02, Hidden neurons: 128, Epochs: 30000, Accuracy: 0.8869, Loss: 0.02032538995189425
Learning rate: 0.02, Hidden neurons: 256, Epochs: 5000, Accuracy: 0.8065, Loss: 0.036870281830863855
Learning rate: 0.02, Hidden neurons: 256, Epochs: 10000, Accuracy: 0.8415, Loss: 0.02955857958874474
Learning rate: 0.02, Hidden neurons: 256, Epochs: 15000, Accuracy: 0.8715, Loss: 0.024840530496412983
Learning rate: 0.02, Hidden neurons: 256, Epochs: 17500, Accuracy: 0.8795, Loss: 0.0237782403438073
Learning rate: 0.02, Hidden neurons: 256, Epochs: 20000, Accuracy: 0.8796, Loss: 0.023404993584513294
Learning rate: 0.02, Hidden neurons: 256, Epochs: 22500, Accuracy: 0.889, Loss: 0.02142711726642315
Learning rate: 0.02, Hidden neurons: 256, Epochs: 25000, Accuracy: 0.8958, Loss: 0.020625822920687507
Learning rate: 0.02, Hidden neurons: 256, Epochs: 27500, Accuracy: 0.8917, Loss: 0.020499078203857136
Learning rate: 0.02, Hidden neurons: 256, Epochs: 30000, Accuracy: 0.9006, Loss: 0.02026763757976322
Learning rate: 0.05, Hidden neurons: 64, Epochs: 5000, Accuracy: 0.8104, Loss: 0.03239815253751129
Learning rate: 0.05, Hidden neurons: 64, Epochs: 10000, Accuracy: 0.8496, Loss: 0.02613227454139744
Learning rate: 0.05, Hidden neurons: 64, Epochs: 15000, Accuracy: 0.8758, Loss: 0.02192009263703504
Learning rate: 0.05, Hidden neurons: 64, Epochs: 17500, Accuracy: 0.8846, Loss: 0.01964654827218236
Learning rate: 0.05, Hidden neurons: 64, Epochs: 20000, Accuracy: 0.894, Loss: 0.018957571648870096
Learning rate: 0.05, Hidden neurons: 64, Epochs: 22500, Accuracy: 0.8945, Loss: 0.01806481400558178
Learning rate: 0.05, Hidden neurons: 64, Epochs: 25000, Accuracy: 0.8969, Loss: 0.01782906650973844
Learning rate: 0.05, Hidden neurons: 64, Epochs: 27500, Accuracy: 0.896, Loss: 0.017620020465712646
Learning rate: 0.05, Hidden neurons: 64, Epochs: 30000, Accuracy: 0.9063, Loss: 0.016420821040014077
Learning rate: 0.05, Hidden neurons: 128, Epochs: 5000, Accuracy: 0.8431, Loss: 0.028863720899642998
Learning rate: 0.05, Hidden neurons: 128, Epochs: 10000, Accuracy: 0.8731, Loss: 0.021990709573095013
Learning rate: 0.05, Hidden neurons: 128, Epochs: 15000, Accuracy: 0.8945, Loss: 0.018755400255649465
Learning rate: 0.05, Hidden neurons: 128, Epochs: 17500, Accuracy: 0.8981, Loss: 0.01845678531396185
Learning rate: 0.05, Hidden neurons: 128, Epochs: 20000, Accuracy: 0.9035, Loss: 0.017551351036272922
Learning rate: 0.05, Hidden neurons: 128, Epochs: 22500, Accuracy: 0.9029, Loss: 0.017404108928982965
Learning rate: 0.05, Hidden neurons: 128, Epochs: 25000, Accuracy: 0.9098, Loss: 0.0158159670177755
Learning rate: 0.05, Hidden neurons: 128, Epochs: 27500, Accuracy: 0.9087, Loss: 0.016427234033341138
Learning rate: 0.05, Hidden neurons: 128, Epochs: 30000, Accuracy: 0.9138, Loss: 0.015279458320949285
Learning rate: 0.05, Hidden neurons: 256, Epochs: 5000, Accuracy: 0.848, Loss: 0.028425448207588626
Learning rate: 0.05, Hidden neurons: 256, Epochs: 10000, Accuracy: 0.874, Loss: 0.023898051511019338
Learning rate: 0.05, Hidden neurons: 256, Epochs: 15000, Accuracy: 0.8949, Loss: 0.0196644679473966
